symbol,side,entry_price,exit_price,pnl_pct,hold_minutes,market_regime,trend,momentum,volatility,timestamp,date,time
BTCUSDT,long,69243.62,69466.6,0.32,0,volatile,neutral,neutral,low,2026-03-11T18:37:56.110370,2026-03-11,18:37:56
BTCUSDT,long,69243.62,69470.4,0.33,0,volatile,neutral,neutral,low,2026-03-11T18:38:57.703810,2026-03-11,18:38:57
BTCUSDT,long,69243.62,69487.2,0.35,0,volatile,neutral,neutral,low,2026-03-11T18:39:59.356574,2026-03-11,18:39:59
BTCUSDT,long,69243.62,69500.1,0.37,0,volatile,neutral,neutral,low,2026-03-11T18:41:01.148688,2026-03-11,18:41:01
BTCUSDT,long,69243.62,69594.0,0.51,0,volatile,neutral,neutral,low,2026-03-11T18:42:03.157070,2026-03-11,18:42:03
BTCUSDT,long,69243.62,69502.1,0.37,0,volatile,neutral,neutral,low,2026-03-11T18:43:04.888108,2026-03-11,18:43:04
BTCUSDT,long,69243.62,69502.1,0.37,0,volatile,neutral,neutral,low,2026-03-11T18:44:06.816871,2026-03-11,18:44:06
BTCUSDT,long,69243.62,69900.0,0.95,0,volatile,neutral,neutral,low,2026-03-11T18:45:08.604464,2026-03-11,18:45:08
BTCUSDT,long,69243.62,69900.0,0.95,0,volatile,neutral,neutral,low,2026-03-11T18:46:10.198495,2026-03-11,18:46:10
BTCUSDT,long,69243.62,69648.0,0.58,0,volatile,neutral,neutral,low,2026-03-11T18:47:12.008167,2026-03-11,18:47:12
BTCUSDT,long,69243.62,69611.6,0.53,0,volatile,neutral,neutral,low,2026-03-11T18:48:13.965450,2026-03-11,18:48:13
BTCUSDT,long,69243.62,69702.7,0.66,0,volatile,neutral,neutral,low,2026-03-11T18:49:15.959351,2026-03-11,18:49:15
BTCUSDT,long,69243.62,69692.0,0.65,0,volatile,neutral,neutral,low,2026-03-11T18:50:17.809124,2026-03-11,18:50:17
BTCUSDT,long,69243.62,69622.4,0.55,0,volatile,neutral,neutral,low,2026-03-11T18:51:19.444287,2026-03-11,18:51:19
BTCUSDT,long,69243.62,69622.4,0.55,0,volatile,neutral,neutral,low,2026-03-11T18:52:21.151148,2026-03-11,18:52:21
BTCUSDT,long,69243.62,69702.7,0.66,0,volatile,neutral,neutral,low,2026-03-11T18:53:22.844736,2026-03-11,18:53:22
BTCUSDT,long,69243.62,69702.7,0.66,0,volatile,neutral,neutral,low,2026-03-11T18:54:25.475902,2026-03-11,18:54:25
BTCUSDT,long,69243.62,69702.7,0.66,0,volatile,neutral,neutral,low,2026-03-11T18:55:27.128894,2026-03-11,18:55:27
